day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,service_year_of_vehicle,defect_of_vehicle,area_accident_occured,lanes_or_medians,road_allignment,types_of_junction,road_surface_type,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,pedestrian_movement,cause_of_accident,hour,time_period,Predicted_Accident_Severity
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,Not a Pedestrian,No distancing,11,Morning,2
Tuesday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,2-5yrs,No defect, Industrial areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Other,Not a Pedestrian,Moving Backward,6,Morning,2
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Changing lane to the right,6,Morning,2
Wednesday,31-50,Male,Unknown,Other,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,1,Night,2
Wednesday,Unknown,Male,High school,Employee,2-5yr,Public (> 45 seats),Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Not a Pedestrian,Moving Backward,1,Night,2
Monday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Fall from vehicles,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,8,Morning,2
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside-parked vehicles,2,1,Going straight,Not a Pedestrian,Overtaking,8,Morning,2
Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Not a Pedestrian,Overloading,12,Afternoon,2
Thursday,31-50,Male,Junior high school,Employee,No Licence,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Unknown or other,Changing lane to the right,12,Afternoon,2
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Other,Not a Pedestrian,Improper parking,12,Afternoon,2
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Other,16,Afternoon,2
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,16,Afternoon,0
Thursday,Over 51,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,2,Going straight,Not a Pedestrian,Changing lane to the right,16,Afternoon,2
Wednesday,Unknown,Female,High school,Owner,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,17,Evening,2
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Other,1-2yr,No defect,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Overspeed,17,Evening,2
Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,5,Morning,2
Tuesday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,5,Morning,2
Wednesday,Over 51,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,6,Morning,0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,One way,Steep grade downward with mountainous terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,No distancing,6,Morning,2
Tuesday,Over 51,Male,Unknown,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No priority to pedestrian,9,Morning,2
Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,9,Morning,2
Saturday,Under 18,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,14,Afternoon,2
Saturday,18-30,Male,Elementary school,Employee,Below 1yr,Other,Governmental,1-2yr,No defect, Church areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Other,14,Afternoon,2
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Organization,1-2yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Driving carelessly,17,Evening,2
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,2,3,Moving Backward,Not a Pedestrian,Changing lane to the left,17,Evening,2
Thursday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,17,Evening,2
Thursday,31-50,Male,High school,Owner,5-10yr,Other,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Rollover,2,3,Other,Not a Pedestrian,Changing lane to the left,17,Evening,2
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,No priority to vehicle,19,Evening,2
Monday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No distancing,13,Afternoon,2
Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the right,13,Afternoon,2
Monday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Crossing from driver's nearside,Changing lane to the right,13,Afternoon,2
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving at high speed,12,Afternoon,2
Monday,Under 18,Male,Elementary school,Employee,2-5yr,Other,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Not a Pedestrian,No distancing,12,Afternoon,2
Monday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Unknown or other,Changing lane to the right,8,Morning,2
Monday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Getting off,Not a Pedestrian,Changing lane to the left,8,Morning,2
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,18,Evening,2
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental,Below 1yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Other,11,Morning,2
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,11,Morning,2
Friday,Unknown,Male,Junior high school,Owner,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,12,Afternoon,2
Friday,Under 18,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No priority to vehicle,12,Afternoon,2
Friday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,12,Afternoon,2
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Not a Pedestrian,No priority to pedestrian,15,Afternoon,1
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,7,Morning,2
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,Changing lane to the right,7,Morning,2
Monday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving carelessly,7,Morning,2
Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the right,18,Evening,2
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Overtaking,6,Morning,1
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,2,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Other,20,Evening,2
Thursday,31-50,Male,Junior high school,Owner,Below 1yr,Automobile,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,3,2,Going straight,Not a Pedestrian,Driving to the left,20,Evening,2
Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Ridden horse,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,2,Moving Backward,Not a Pedestrian,Driving at high speed,20,Evening,2
Thursday,18-30,Male,Writing & reading,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Unknown,11,Morning,2
Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Other,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,11,Morning,2
Monday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,20,Evening,2
